cursor,der Mauszeiger
arrow,der Pfeil
right button mouse,die rechte Maustaste
left button mouse,die linke Maustaste
file,die Datei
directory,das Verzeichnis
button,der Knopf
browser,der Browser
double-click,der Doppelklick
backup,die Sicherheitskopie
background-color,die Hintergrundfarbe
table,die Tabelle
column,die Spalte
row,die Zeile
cell,die Zelle
esc key,die Escapetaste
delete key,die Löschtaste
tabulator key,die Tabulatortaste
device,das Gerät
user,der Benutzer
password,das Passwort
webpage,die Webseite
virus,das/der Virus
toolbar,die Werkzeugleiste
query,die Anfrage
load,die Belastung
operating system,das Betriebssystem
screensaver,der Bildschirmschoner
bandwidth,die Bandbreite
